Transaction_ID,Customer_ID,Customer_Name,Gender,Age,Account_Type,Branch_ID,Branch_Name,City,Transaction_Date,Transaction_Time,Transaction_Type,Channel,Amount,Balance_Before,Balance_After,Merchant_Category,Transaction_Status,Device_Type,Fraud_Flag,Risk_Score,Loan_Customer,Credit_Score,Salary_Band,Customer_Segment
TXN000001,CUST8927,Aarav Sharma,Male,37,Savings,BR118,Connaught Place Branch,Kolkata,2024-02-18,12:27:25,Deposit,POS,57718.16,235376.92,293095.08,E-commerce,Success,Desktop,No,4,No,567,6-10 LPA,HNI
TXN000002,CUST4086,Pooja Yadav,Female,64,Savings,BR114,Connaught Place Branch,Delhi,2024-05-08,16:59:40,Payment,Mobile Banking,41484.39,257019.04,215534.65,Education,Pending,Tablet,Yes,34,Yes,305,6-10 LPA,HNI
TXN000003,CUST3654,Karan Malhotra,Male,52,Current,BR110,Banjara Hills Branch,Ahmedabad,2024-04-11,17:32:28,Withdrawal,POS,47379.38,313817.42,266438.04,Utilities,Success,Desktop,No,5,No,868,0-3 LPA,HNI
TXN000004,CUST8245,Aditya Verma,Male,56,Savings,BR102,MG Road Branch,Kolkata,2024-01-06,05:19:43,Deposit,Internet Banking,60017.28,415266.99,475284.27,Retail,Success,Tablet,No,38,No,434,6-10 LPA,Retail
TXN000005,CUST3648,Priya Nair,Female,63,Savings,BR116,Fort Branch,Mumbai,2025-09-10,18:13:57,Transfer,UPI,81484.66,194847.37,276332.03,Grocery,Failed,iPhone,No,90,No,836,6-10 LPA,Premium
TXN000006,CUST9905,Aarav Sharma,Male,58,Current,BR104,MG Road Branch,Bengaluru,2025-02-03,23:41:02,Withdrawal,POS,66081.13,295921.67,229840.54,Dining,Pending,Android,Yes,86,Yes,540,0-3 LPA,Retail
TXN000007,CUST9184,Aarav Sharma,Male,56,Current,BR101,Connaught Place Branch,Hyderabad,2025-04-17,07:14:19,Transfer,Internet Banking,67462.06,47874.87,115336.93,Retail,Pending,Android,No,81,No,544,0-3 LPA,Retail
TXN000008,CUST2055,Rohan Joshi,Male,62,Savings,BR116,Fort Branch,Bengaluru,2024-11-18,05:13:26,Transfer,POS,28868.7,378374.92,407243.62,Travel,Failed,Tablet,Yes,69,Yes,694,20+ LPA,Premium
TXN000009,CUST5011,Neha Singh,Female,34,Savings,BR117,Connaught Place Branch,Pune,2025-10-03,02:58:50,Transfer,Internet Banking,95320.68,13031.27,108351.95,E-commerce,Failed,Android,No,70,No,394,6-10 LPA,Premium
TXN000010,CUST1187,Nikhil Chavan,Male,27,Savings,BR114,Banjara Hills Branch,Delhi,2024-11-30,18:47:08,Deposit,UPI,86957.88,131072.97,218030.85,Retail,Success,Android,Yes,14,Yes,645,6-10 LPA,Retail
TXN000011,CUST6105,Neha Singh,Female,52,Current,BR114,Fort Branch,Mumbai,2024-07-07,20:52:33,Withdrawal,Branch,2795.85,265233.75,262437.9,Travel,Success,Tablet,No,36,Yes,850,0-3 LPA,HNI
TXN000012,CUST3591,Siddharth Rao,Male,32,Savings,BR106,Shivajinagar Branch,Pune,2025-06-09,13:31:30,Transfer,ATM,23084.11,198534.05,221618.16,E-commerce,Success,Desktop,Yes,15,No,518,3-6 LPA,Premium
TXN000013,CUST5431,Priya Nair,Female,24,Savings,BR120,MG Road Branch,Bengaluru,2024-12-14,05:26:47,Transfer,Mobile Banking,799.33,321525.42,322324.75,Dining,Success,Tablet,No,52,Yes,302,10-20 LPA,Premium
TXN000014,CUST7983,Ishita Jain,Female,27,Current,BR118,Fort Branch,Chennai,2025-06-04,04:20:22,Deposit,Mobile Banking,12507.69,326524.89,339032.58,Healthcare,Pending,iPhone,Yes,49,No,501,6-10 LPA,HNI
TXN000015,CUST8405,Rahul Mehta,Male,22,Savings,BR111,Fort Branch,Chennai,2025-08-20,04:56:58,Transfer,POS,62724.96,146332.91,209057.87,Retail,Pending,Desktop,No,40,No,883,0-3 LPA,Corporate
TXN000016,CUST5467,Arjun Deshmukh,Male,62,Current,BR113,Shivajinagar Branch,Chennai,2025-05-22,07:27:31,Withdrawal,ATM,97964.42,367170.91,269206.49,Education,Success,Android,Yes,78,Yes,591,10-20 LPA,Corporate
TXN000017,CUST5141,Aditi Mishra,Female,39,Savings,BR119,Shivajinagar Branch,Chennai,2025-03-10,23:31:29,Deposit,UPI,88304.37,320817.85,409122.22,Travel,Pending,iPhone,No,90,Yes,771,0-3 LPA,Premium
TXN000018,CUST2889,Aditi Mishra,Female,58,Savings,BR109,Shivajinagar Branch,Hyderabad,2024-09-29,02:42:26,Withdrawal,POS,50957.6,259009.71,208052.11,Travel,Failed,Tablet,Yes,75,No,726,6-10 LPA,Retail
TXN000019,CUST8133,Ananya Gupta,Female,31,Current,BR116,MG Road Branch,Ahmedabad,2024-03-17,11:17:57,Transfer,ATM,57729.27,439004.55,496733.82,E-commerce,Success,Tablet,No,53,Yes,688,6-10 LPA,Corporate
TXN000020,CUST6417,Priya Nair,Female,27,Savings,BR104,Banjara Hills Branch,Bengaluru,2025-06-30,21:11:57,Payment,ATM,64627.99,220512,155884.01,Dining,Success,Tablet,Yes,70,Yes,796,10-20 LPA,HNI
TXN000021,CUST8657,Sneha Kulkarni,Female,27,Savings,BR102,MG Road Branch,Pune,2024-11-08,02:56:24,Transfer,Internet Banking,27349.66,498112.66,525462.32,Grocery,Pending,iPhone,No,95,No,695,6-10 LPA,HNI
TXN000022,CUST4865,Vikram Reddy,Male,26,Current,BR117,MG Road Branch,Kolkata,2024-06-30,01:48:20,Transfer,Branch,75875.02,437807.33,513682.35,Utilities,Pending,Desktop,No,68,Yes,695,20+ LPA,Retail
TXN000023,CUST9541,Priya Nair,Female,65,Current,BR119,Shivajinagar Branch,Hyderabad,2025-12-31,02:51:12,Transfer,Mobile Banking,77679.51,224808.74,302488.25,Utilities,Failed,Tablet,Yes,8,No,681,3-6 LPA,HNI
TXN000024,CUST3330,Rohan Joshi,Male,47,Savings,BR104,MG Road Branch,Hyderabad,2024-05-24,03:28:47,Deposit,ATM,46855.76,151325.95,198181.71,Utilities,Success,Tablet,No,54,Yes,703,10-20 LPA,Premium
TXN000025,CUST4568,Arjun Deshmukh,Male,57,Savings,BR114,Fort Branch,Mumbai,2025-08-13,09:51:39,Deposit,UPI,85718.25,208422.05,294140.3,Healthcare,Failed,Tablet,No,64,Yes,697,10-20 LPA,Corporate
TXN000026,CUST9879,Aditi Mishra,Female,32,Current,BR109,Connaught Place Branch,Pune,2024-07-30,22:41:12,Payment,POS,28670.46,230111.42,201440.96,Healthcare,Pending,Desktop,No,48,Yes,348,0-3 LPA,Corporate
TXN000027,CUST3797,Karan Malhotra,Male,56,Savings,BR114,Connaught Place Branch,Chennai,2024-10-05,06:01:48,Payment,POS,59676.03,168437.71,108761.68,Utilities,Success,iPhone,No,84,Yes,465,20+ LPA,HNI
TXN000028,CUST6819,Arjun Deshmukh,Male,37,Current,BR113,MG Road Branch,Chennai,2025-06-25,04:30:25,Withdrawal,Mobile Banking,33653.56,47577.75,13924.19,Dining,Pending,iPhone,No,82,Yes,847,3-6 LPA,Corporate
TXN000029,CUST7835,Pooja Yadav,Female,23,Current,BR108,Connaught Place Branch,Ahmedabad,2024-03-09,12:56:35,Payment,Internet Banking,68858.04,147533.64,78675.6,Utilities,Failed,Desktop,No,13,Yes,695,10-20 LPA,Corporate
TXN000030,CUST5304,Aditya Verma,Male,22,Current,BR113,Banjara Hills Branch,Bengaluru,2025-05-17,04:16:04,Payment,POS,94210.46,490419.5,396209.04,Healthcare,Success,Android,Yes,84,Yes,409,0-3 LPA,Retail
TXN000031,CUST1053,Sneha Kulkarni,Female,37,Savings,BR107,Fort Branch,Bengaluru,2025-07-21,10:02:14,Transfer,ATM,40028.94,8094.67,48123.61,E-commerce,Success,Tablet,No,50,No,559,6-10 LPA,Retail
TXN000032,CUST6259,Pooja Yadav,Female,37,Savings,BR104,Fort Branch,Delhi,2024-02-23,00:46:07,Transfer,Branch,4770.58,122797.31,127567.89,Utilities,Pending,Desktop,No,64,No,872,3-6 LPA,HNI
TXN000033,CUST3616,Arjun Deshmukh,Male,27,Savings,BR106,Fort Branch,Pune,2025-08-14,16:30:01,Withdrawal,ATM,38061.12,454565.04,416503.92,Grocery,Pending,iPhone,No,42,Yes,815,6-10 LPA,Corporate
TXN000034,CUST8993,Karan Malhotra,Male,61,Savings,BR118,MG Road Branch,Bengaluru,2024-05-06,12:16:33,Payment,Mobile Banking,59815.34,119425.02,59609.68,E-commerce,Pending,Desktop,Yes,77,Yes,842,0-3 LPA,HNI
TXN000035,CUST4830,Meera Kapoor,Female,41,Current,BR104,Shivajinagar Branch,Pune,2025-03-22,23:19:37,Deposit,ATM,74916.23,21370.69,96286.92,Utilities,Failed,Android,No,37,Yes,437,3-6 LPA,Premium
TXN000036,CUST5485,Tanvi Patil,Female,49,Savings,BR102,Connaught Place Branch,Hyderabad,2024-09-07,10:57:37,Payment,ATM,89150.71,237229.1,148078.39,Utilities,Pending,iPhone,No,51,No,627,3-6 LPA,Retail
TXN000037,CUST3964,Aditi Mishra,Female,29,Savings,BR105,Shivajinagar Branch,Ahmedabad,2024-03-20,17:02:44,Withdrawal,Internet Banking,28565.72,111711.42,83145.7,Retail,Failed,Android,Yes,16,No,337,10-20 LPA,Retail
